,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
0,스포트라이트,3.0,4.22683,4.0,13025.0,9796.0,2585.0,128.0,2015.0,7,10,14,83,50,1472,454,4509,4318,2108,토마스맥카시 마이클키튼 마크러팔로 레이첼맥아담스 15세관람가 드라마 미국
1,찌라시 : 위험한 소문,2.0,2.99629,,58122.0,3166.0,965.0,121.0,2013.0,1312,2238,2150,6749,6597,9397,16842,1367,9011,2459,김광식 김강우 정진영 박성웅 15세관람가 드라마 한국
2,비포 미드나잇,4.0,3.90119,,66296.0,33565.0,1539.0,108.0,2013.0,228,316,956,1513,2367,7526,9953,7289,21200,14948,리처드링클레이터 에단호크 줄리델피 시머스데이비피츠패트릭 청소년관람불가 로맨스 멜로 미국
3,더 웹툰: 예고살인,2.0,2.62241,,67031.0,1079.0,712.0,104.0,2013.0,3615,4063,5424,8133,11525,6501,17566,765,7099,2340,김용균 이시영 엄기준 문가영 15세관람가 공포 한국
4,트랜센던스,3.0,3.31175,,68174.0,9510.0,2439.0,119.0,2014.0,787,1612,1329,6635,5251,13675,15493,4620,14473,4299,월리피스터 조니뎁 레베카홀 모건프리먼 12세관람가 SF 미국 영국
5,인간중독,2.0,2.27068,,71711.0,1780.0,1801.0,132.0,2014.0,6464,7653,7810,9750,15110,5136,13452,717,3879,1740,김대우 송승헌 임지연 온주완 청소년관람불가 드라마 한국
6,헝거게임: 모킹제이,2.0,3.52048,,74705.0,7661.0,2829.0,123.0,2014.0,627,994,895,5484,3262,16857,15539,5451,17810,7786,프란시스로렌스 제니퍼로렌스 리암헴스워스 조쉬허처슨 15세관람가 판타지 미국
7,인턴,3.0,3.90317,,74444.0,10389.0,7696.0,121.0,2015.0,68,215,134,2333,892,16408,8537,13171,23202,9484,낸시마이어스 로버트드니로 앤해서웨이 르네루소 12세관람가 코미디 미국
8,뷰티 인사이드,2.0,3.61165,,78615.0,6108.0,7895.0,127.0,2015.0,294,764,475,5541,2612,19241,13621,8633,20943,6491,백종열 이현우 한효주 김대명 12세관람가 로맨스 멜로 한국
9,검은 사제들,4.0,3.60711,,79275.0,4026.0,7954.0,108.0,2015.0,268,495,398,4124,1916,23240,14162,7177,23118,4377,장재현 김윤석 강동원 박소담 15세관람가 스릴러 한국
