name,이동진 별점,이동진 코멘트
이동진 평론가,4.5,&#x27;모두가 대통령의 사람들&#x27;과 함께 오래도록 거론될 모범적 언론영화.
김수빈,3.0,영화 내내 드는 생각은 김강우는 뭐때문에 저렇게까지 열심히뛰지? 그리고 박성웅이 김강우에게 미운정들어 점점 살살때리나...?라는 생각뿐
Sloth K,5.0,"선라이즈의 동화,
선셋의 낭만,
미드나잇의 시간."
송재한,2.0,이랬다가 저랬다가 왔다 갔다.
김기광,,"영화보다 대단한게 한국 광고 회사라는 거다. 몇 백만의 관객에게 놀란의 영화라 속였으니 상업적 카이저 소제가 따로 없다.
놀란 추종자들의 허세는 덤이고."
영웅,0.5,시사회 보고 왔는데 내 인생에서 두시간을 낭비함... 아 3분 정도는 건짐
keeper,3.0,두시간짜리 예고편
허진진,4.5,"난 우리나라기업에게도 이런식의 직원채용이필요하다고 절실히느꼈다
연륜에서 나오는 지혜만큼이나
좋은게 있을까"
히스,3.5,겉모습이 중요하지 않다고 말하면서 결정적인 순간마다 등장하는 &#x27;젊고 잘생긴 남성&#x27; 우진. 영화와 메세지 사이의 묘한 이질감.
김민지,4.0,"초반은 살짝지루하나 강동원이 잘생겼으며, 전체적으로 단조로운 구성이지만 강동원이 잘생겼으며, 여고생역의 연기가 실감나서 공포감을 고조시키는데 강동원이 잘생겼으며, 웬만한 공포영화 못지않게 무섭고 오락성이 뛰어난데 강동원이 잘생겼다."
김용현,4.0,"흔히 물의를 일으킨 연기자들은 이렇게 말한다. &quot;더 좋은 연기로 찾아뵙겠다고&quot; 
그는 정말로 그렇게 행하였다."
류주니,4.0,기분나쁜영화
이동진 평론가,4.0,하나를 위한 전체.  세상에서 가장 낙천적인 (SF)재난영화.
이동호,3.0,"미드나잇 인 파리, 어바웃 타임 그리고 시간 여행자의 아내까지 레이첼 맥아담스는 진정 시간 여행자들의 아내였다."
워노워노,3.5,강동원(35) 처녀귀신 역
워노워노,3.5,C급 현실성 B급 스토리 A급 배우들 S급 영상미
이동진 평론가,3.5,두 주인공이 처음 직접 대면하게 될 때의 굉장한 박력.
김태균,4.5,"영화의 대사를 빌려서: &quot;Yes, I am satisfied with my care!&quot;"
김태균,1.5,그녀는 그렇게 Her (2013)의 사만다 (Samantha)가 되었다.
김경찬,5.0,‘세상에서 가장 예쁜 여인과 키스하기’ 항목을 지울 때...
문성희,5.0,원빈 보려다 신하균한테 홀림
최영생,4.5,"수 많은 염석진은 아직 살아있고
잊지 말아달라던 사람들은 잊혀졌고
부서진 집을 고치지 않던 동포들이 돌아올 고향은 아직 없다."
이동진 평론가,3.5,심플하고 힘있게 치고 달리는 영화가 선사하는 통쾌함.
박정서,3.5,생각보다 놀란 민호의 비중
최창원,0.5,축하드립니다 드디어 왓챠에 별점 반 개 기능이 추가되었습니다!
준희,5.0,"첫사랑, 그 설레고 아련했던 사랑의 감정 그리고 풋풋하고 찌질했던 우리 모두의 이야기"
이관민,2.0,감동을 위해서라면 최소한의 개연성마저 과감히 생략하는 감독의 기백이 돋보임
Jae Bong Choi,4.0,신을 흑인으로 설정했다는데 더 높은 점수를 주고싶다
이상혁,4.0,엑기스만 먼저 봤던 나를 반성한다
임기원,3.0,이 영화엔 평점이 몇점이든 다 잘어울린다.
최문석,5.0,브라더는 형만 믿으면 되야.
