영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
스포트라이트,3.5,4.22683,4.5,"13,025","9,796","2,585",토마스 맥카시,"[마이클 키튼, 마크 러팔로, 레이첼 맥아담스]",15세 관람가,드라마,미국,128.0,2015.0,"{""1"":7,""2"":14,""3"":10,""4"":50,""5"":83,""6"":454,""7"":1472,""8"":4318,""9"":4509,""10"":2108}",&#x27;모두가 대통령의 사람들&#x27;과 함께 오래도록 거론될 모범적 언론영화.
찌라시 : 위험한 소문,2.5,2.99629,,"58,122","3,166",965,김광식,"[김강우, 정진영, 박성웅]",15세 관람가,드라마,한국,121.0,2013.0,"{""1"":1312,""2"":2150,""3"":2238,""4"":6597,""5"":6749,""6"":16842,""7"":9397,""8"":9011,""9"":1367,""10"":2459}",
비포 미드나잇,4.0,3.90119,,"66,296","33,565","1,539",리처드 링클레이터,"[에단 호크, 줄리 델피, 시머스 데이비-피츠패트릭]",청소년 관람불가,로맨스/멜로,미국,108.0,2013.0,"{""1"":228,""2"":956,""3"":316,""4"":2367,""5"":1513,""6"":9953,""7"":7526,""8"":21200,""9"":7289,""10"":14948}",
더 웹툰: 예고살인,2.0,2.62241,,"67,031","1,079",712,김용균,"[이시영, 엄기준, 문가영]",15세 관람가,공포,한국,104.0,2013.0,"{""1"":3615,""2"":5424,""3"":4063,""4"":11525,""5"":8133,""6"":17566,""7"":6501,""8"":7099,""9"":765,""10"":2340}",
트랜센던스,3.0,3.31175,,"68,174","9,510","2,439",월리 피스터,"[조니 뎁, 레베카 홀, 모건 프리먼]",12세 관람가,SF,"미국, 영국",119.0,2014.0,"{""1"":787,""2"":1329,""3"":1612,""4"":5251,""5"":6635,""6"":15493,""7"":13675,""8"":14473,""9"":4620,""10"":4299}",
인간중독,2.0,2.27068,,"71,711","1,780","1,801",김대우,"[송승헌, 임지연, 온주완]",청소년 관람불가,드라마,한국,132.0,2014.0,"{""1"":6464,""2"":7810,""3"":7653,""4"":15110,""5"":9750,""6"":13452,""7"":5136,""8"":3879,""9"":717,""10"":1740}",
헝거게임: 모킹제이,2.5,3.52048,,"74,705","7,661","2,829",프란시스 로렌스,"[제니퍼 로렌스, 리암 헴스워스, 조쉬 허처슨]",15세 관람가,판타지,미국,123.0,2014.0,"{""1"":627,""2"":895,""3"":994,""4"":3262,""5"":5484,""6"":15539,""7"":16857,""8"":17810,""9"":5451,""10"":7786}",
인턴,3.5,3.90317,,"74,444","10,389","7,696",낸시 마이어스,"[로버트 드 니로, 앤 해서웨이, 르네 루소]",12세 관람가,코미디,미국,121.0,2015.0,"{""1"":68,""2"":134,""3"":215,""4"":892,""5"":2333,""6"":8537,""7"":16408,""8"":23202,""9"":13171,""10"":9484}",
뷰티 인사이드,2.0,3.61165,,"78,615","6,108","7,895",백종열,"[이현우, 한효주, 김대명]",12세 관람가,로맨스/멜로,한국,127.0,2015.0,"{""1"":294,""2"":475,""3"":764,""4"":2612,""5"":5541,""6"":13621,""7"":19241,""8"":20943,""9"":8633,""10"":6491}",
검은 사제들,4.0,3.60711,,"79,275","4,026","7,954",장재현,"[김윤석, 강동원, 박소담]",15세 관람가,스릴러,한국,108.0,2015.0,"{""1"":268,""2"":398,""3"":495,""4"":1916,""5"":4124,""6"":14162,""7"":23240,""8"":23118,""9"":7177,""10"":4377}",
내부자들,4.5,3.86041,,"81,082","5,085","8,404",우민호,"[이병헌, 조승우, 백윤식]",청소년 관람불가,범죄,한국,130.0,2015.0,"{""1"":159,""2"":244,""3"":280,""4"":1133,""5"":2816,""6"":9406,""7"":17798,""8"":26694,""9"":13980,""10"":8572}",
사일런트 힐,3.0,3.34497,,"83,358","5,629",841,크리스토프 갱스,"[라다 미첼, 로리 홀든, 숀 빈]",청소년 관람불가,공포,"캐나다, 일본, 미국, 프랑스",124.0,2006.0,"{""1"":833,""2"":3363,""3"":1109,""4"":8095,""5"":3894,""6"":22115,""7"":9721,""8"":22544,""9"":3029,""10"":8655}",
마션,3.5,4.01025,4.0,"93,331","8,067","10,234",리들리 스콧,"[맷 데이먼, 제시카 차스테인, 제프 다니엘스]",12세 관람가,SF,미국,142.0,2015.0,"{""1"":69,""2"":141,""3"":186,""4"":691,""5"":1441,""6"":6399,""7"":17710,""8"":35774,""9"":20209,""10"":10711}",하나를 위한 전체.  세상에서 가장 낙천적인 (SF)재난영화.
시간 여행자의 아내,3.0,3.66282,,"96,957","21,133","1,044",로베르트 슈벤트케,"[에릭 바나, 레이첼 맥아담스, 알렉스 페리스]",12세 관람가,로맨스/멜로,미국,107.0,2009.0,"{""1"":246,""2"":1604,""3"":535,""4"":4844,""5"":3179,""6"":21657,""7"":12990,""8"":31673,""9"":6560,""10"":13669}",
군도:민란의 시대,3.5,3.14855,,"102,482","7,671","7,200",윤종빈,"[하정우, 강동원, 이경영]",15세 관람가,액션,한국,137.0,2014.0,"{""1"":1196,""2"":1647,""3"":2669,""4"":7522,""5"":12924,""6"":28380,""7"":26156,""8"":16006,""9"":3269,""10"":2713}",
씬 시티,3.5,3.56793,,"101,752","8,883","1,061",프랭크 밀러,"[브루스 윌리스, 미키 루크, 제시카 알바]",청소년 관람불가,범죄,미국,123.0,2005.0,"{""1"":558,""2"":3799,""3"":782,""4"":8100,""5"":2620,""6"":22607,""7"":9690,""8"":31937,""9"":5442,""10"":16217}",
끝까지 간다,4.0,3.86662,3.5,"116,851","6,526","6,115",김성훈,"[이선균, 조진웅, 신동미]",15세 관람가,범죄,한국,111.0,2013.0,"{""1"":201,""2"":353,""3"":472,""4"":1644,""5"":2972,""6"":12364,""7"":26814,""8"":42627,""9"":17296,""10"":12108}",두 주인공이 처음 직접 대면하게 될 때의 굉장한 박력.
빅 히어로,4.0,3.95044,,"119,876","10,304","5,545",크리스 윌리엄스,"[라이언 포터, 스콧 애짓, 제이미 정]",전체 관람가,애니메이션,미국,108.0,2014.0,"{""1"":403,""2"":543,""3"":544,""4"":1960,""5"":3478,""6"":12859,""7"":21940,""8"":36988,""9"":19271,""10"":21890}",
루시,3.0,3.10815,,"122,449","9,728","6,180",뤽 베송,"[스칼렛 요한슨, 모건 프리먼, 최민식]",청소년 관람불가,액션,"미국, 프랑스",90.0,2014.0,"{""1"":2579,""2"":3428,""3"":4574,""4"":12048,""5"":15836,""6"":28387,""7"":23538,""8"":19359,""9"":6242,""10"":6458}",
버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들,3.5,3.94196,,"127,387","40,384","1,187",롭 라이너,"[잭 니콜슨, 모건 프리먼, 숀 헤이즈]",12세 관람가,드라마,미국,96.0,2007.0,"{""1"":254,""2"":1390,""3"":390,""4"":3414,""5"":2259,""6"":20407,""7"":13299,""8"":44832,""9"":10470,""10"":30672}",
킬러들의 수다,3.5,3.36549,,"132,497","5,907",598,장진,"[신현준, 정재영, 신하균]",15세 관람가,코미디,한국,120.0,2001.0,"{""1"":772,""2"":4549,""3"":1366,""4"":12560,""5"":5349,""6"":38527,""7"":14382,""8"":38626,""9"":3664,""10"":12702}",
암살,4.0,3.94286,,"142,933","5,514","10,405",최동훈,"[전지현, 이정재, 하정우]",15세 관람가,액션,한국,140.0,2015.0,"{""1"":179,""2"":323,""3"":434,""4"":1445,""5"":3557,""6"":14994,""7"":30103,""8"":45653,""9"":26425,""10"":19820}",
베테랑,3.5,4.00765,3.5,"156,282","5,621","12,327",류승완,"[황정민, 유아인, 유해진]",15세 관람가,액션,한국,124.0,2015.0,"{""1"":236,""2"":319,""3"":414,""4"":1417,""5"":2903,""6"":12063,""7"":31166,""8"":52650,""9"":31427,""10"":23687}",심플하고 힘있게 치고 달리는 영화가 선사하는 통쾌함.
메이즈 러너,2.5,3.69728,,"159,950","6,841","5,961",웨스 볼,"[딜런 오브라이언, 토마스 생스터, 윌 폴터]",12세 관람가,액션,미국,113.0,2014.0,"{""1"":617,""2"":1039,""3"":1414,""4"":4641,""5"":8592,""6"":26216,""7"":37161,""8"":44106,""9"":16663,""10"":19501}",
디 워,0.5,1.98421,,"267,408",484,"2,215",심형래,"[제이슨 베어, 아만다 브룩스, 크레이그 로빈슨]",12세 관람가,판타지,한국,90.0,2007.0,"{""1"":35355,""2"":65926,""3"":14910,""4"":56686,""5"":16272,""6"":46132,""7"":8712,""8"":14679,""9"":1406,""10"":7330}",
건축학개론,3.0,3.58254,,"636,441","6,750","3,231",이용주,"[엄태웅, 한가인, 이제훈]",12세 관람가,로맨스/멜로,한국,118.0,2012.0,"{""1"":3472,""2"":14338,""3"":5626,""4"":43984,""5"":21799,""6"":159911,""7"":61959,""8"":199358,""9"":22984,""10"":103010}",
어거스트 러쉬,3.5,3.94234,,"450,272","13,246","1,565",커스틴 쉐리단,"[프레디 하이모어, 조나단 리스 마이어스, 케리 러셀]",전체 관람가,드라마,미국,113.0,2007.0,"{""1"":1275,""2"":5987,""3"":1918,""4"":16750,""5"":8455,""6"":74932,""7"":36516,""8"":149635,""9"":28263,""10"":126541}",
브루스 올마이티,3.5,3.79117,,"314,274","9,659","1,323",톰 새디악,"[짐 캐리, 모건 프리먼, 제니퍼 애니스턴]",12세 관람가,코미디,미국,100.0,2003.0,"{""1"":620,""2"":3393,""3"":1089,""4"":10671,""5"":6469,""6"":64547,""7"":35734,""8"":120436,""9"":16868,""10"":54447}",
"색, 계",4.0,3.55195,,"178,290","9,805","1,245",이안,"[양조위, 탕웨이, 왕리홍]",청소년 관람불가,로맨스/멜로,"미국, 중국, 대만, 홍콩",157.0,2007.0,"{""1"":978,""2"":5044,""3"":1517,""4"":13926,""5"":5093,""6"":43671,""7"":18714,""8"":53611,""9"":9587,""10"":26149}",
펄프 픽션,3.5,3.93998,,"65,199","17,580","1,466",쿠엔틴 타란티노,"[존 트라볼타, 사무엘 L. 잭슨, 우마 서먼]",청소년 관람불가,범죄,미국,154.0,1994.0,"{""1"":113,""2"":1300,""3"":158,""4"":2506,""5"":720,""6"":9866,""7"":5159,""8"":22912,""9"":6283,""10"":16182}",
신세계,3.5,4.21741,,"561,470","15,862","4,473",박훈정,"[황정민, 최민식, 이정재]",청소년 관람불가,범죄,한국,134.0,2012.0,"{""1"":1129,""2"":4842,""3"":1351,""4"":10312,""5"":5813,""6"":54387,""7"":37680,""8"":172892,""9"":53312,""10"":219752}",
겨울왕국,4.5,3.90408,,"528,793","6,676","7,410",크리스 벅,"[박지윤, 소연, 크리스틴 벨]",전체 관람가,애니메이션,미국,108.0,2013.0,"{""1"":2335,""2"":5138,""3"":3642,""4"":16586,""5"":16751,""6"":84239,""7"":66545,""8"":155143,""9"":42376,""10"":136038}",
킥 애스: 영웅의 탄생,4.5,3.48115,,"135,240","6,717","1,691",매튜 본,"[애런 존슨, 클로이 모레츠, 니콜라스 케이지]",청소년 관람불가,판타지,"미국, 영국",117.0,2010.0,"{""1"":1174,""2"":6350,""3"":1428,""4"":11298,""5"":4390,""6"":28940,""7"":14845,""8"":41614,""9"":6265,""10"":18936}",
"아이, 로봇",4.5,3.6504,,"295,989","5,242",880,알렉스 프로야스,"[윌 스미스, 브리짓 모나한, 브루스 그린우드]",12세 관람가,SF,미국,110.0,2004.0,"{""1"":587,""2"":3425,""3"":1225,""4"":14084,""5"":7369,""6"":77168,""7"":34126,""8"":106702,""9"":11900,""10"":39403}",
킹콩,4.5,3.43914,,"280,720","2,553",929,피터 잭슨,"[나오미 왓츠, 잭 블랙, 애드리언 브로디]",15세 관람가,판타지,"뉴질랜드, 미국",186.0,2005.0,"{""1"":1127,""2"":7440,""3"":2290,""4"":24224,""5"":9489,""6"":85256,""7"":27966,""8"":82203,""9"":8570,""10"":32155}",
아바타,4.5,3.96304,,"667,532","4,178","3,078",제임스 카메론,"[샘 워싱턴, 조 샐다나, 시고니 위버]",12세 관람가,SF,미국,162.0,2009.0,"{""1"":2285,""2"":10057,""3"":3107,""4"":26109,""5"":11372,""6"":106607,""7"":49937,""8"":212636,""9"":47304,""10"":198118}",
노트북,4.5,4.01638,,"275,127","35,005","2,430",닉 카사베츠,"[라이언 고슬링, 레이첼 맥아담스, 제임스 마스던]",15세 관람가,로맨스/멜로,미국,123.0,2004.0,"{""1"":758,""2"":4492,""3"":1046,""4"":9990,""5"":4240,""6"":40417,""7"":20103,""8"":83723,""9"":20530,""10"":89828}",
명량,3.0,3.68229,,"299,663","7,434","10,269",김한민,"[최민식, 류승룡, 조진웅]",15세 관람가,액션,한국,128.0,2014.0,"{""1"":3522,""2"":4398,""3"":4778,""4"":13293,""5"":17958,""6"":48078,""7"":51974,""8"":69187,""9"":33657,""10"":52818}",
