0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
7,10,14,83,50,1472,454,4509,4318,2108
1312,2238,2150,6749,6597,9397,16842,1367,9011,2459
228,316,956,1513,2367,7526,9953,7289,21200,14948
3615,4063,5424,8133,11525,6501,17566,765,7099,2340
787,1612,1329,6635,5251,13675,15493,4620,14473,4299
6464,7653,7810,9750,15110,5136,13452,717,3879,1740
627,994,895,5484,3262,16857,15539,5451,17810,7786
68,215,134,2333,892,16408,8537,13171,23202,9484
294,764,475,5541,2612,19241,13621,8633,20943,6491
268,495,398,4124,1916,23240,14162,7177,23118,4377
159,280,244,2816,1133,17798,9406,13980,26694,8572
833,1109,3363,3894,8095,9721,22115,3029,22544,8655
69,186,141,1441,691,17710,6399,20209,35774,10711
246,535,1604,3179,4844,12990,21657,6560,31673,13669
1196,2669,1647,12924,7522,26156,28380,3269,16006,2713
558,782,3799,2620,8100,9690,22607,5442,31937,16217
201,472,353,2972,1644,26814,12364,17296,42627,12108
403,544,543,3478,1960,21940,12859,19271,36988,21890
2579,4574,3428,15836,12048,23538,28387,6242,19359,6458
254,390,1390,2259,3414,13299,20407,10470,44832,30672
772,1366,4549,5349,12560,14382,38527,3664,38626,12702
179,434,323,3557,1445,30103,14994,26425,45653,19820
236,414,319,2903,1417,31166,12063,31427,52650,23687
617,1414,1039,8592,4641,37161,26216,16663,44106,19501
35355,14910,65926,16272,56686,8712,46132,1406,14679,7330
3472,5626,14338,21799,43984,61959,159911,22984,199358,103010
1275,1918,5987,8455,16750,36516,74932,28263,149635,126541
620,1089,3393,6469,10671,35734,64547,16868,120436,54447
978,1517,5044,5093,13926,18714,43671,9587,53611,26149
113,158,1300,720,2506,5159,9866,6283,22912,16182
1129,1351,4842,5813,10312,37680,54387,53312,172892,219752
2335,3642,5138,16751,16586,66545,84239,42376,155143,136038
1174,1428,6350,4390,11298,14845,28940,6265,41614,18936
587,1225,3425,7369,14084,34126,77168,11900,106702,39403
1127,2290,7440,9489,24224,27966,85256,8570,82203,32155
