영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
스포트라이트,3.5,4.22683,9690.0,15세 관람가,드라마,미국,128.0,2015.0
찌라시 : 위험한 소문,2.5,2.99629,57498.0,15세 관람가,드라마,한국,121.0,2013.0
비포 미드나잇,4.0,3.90119,65978.0,청소년 관람불가,로맨스/멜로,미국,108.0,2013.0
더 웹툰: 예고살인,2.0,2.62241,66523.0,15세 관람가,공포,한국,104.0,2013.0
트랜센던스,3.0,3.31175,67645.0,12세 관람가,SF,"미국, 영국",119.0,2014.0
인간중독,2.0,2.27068,70810.0,청소년 관람불가,드라마,한국,132.0,2014.0
헝거게임: 모킹제이,2.5,3.52048,73472.0,15세 관람가,판타지,미국,123.0,2014.0
인턴,3.5,3.90317,73660.0,12세 관람가,코미디,미국,121.0,2015.0
뷰티 인사이드,2.0,3.61165,76463.0,12세 관람가,로맨스/멜로,한국,127.0,2015.0
검은 사제들,4.0,3.60711,78477.0,15세 관람가,스릴러,한국,108.0,2015.0
내부자들,4.5,3.86041,80183.0,청소년 관람불가,범죄,한국,130.0,2015.0
사일런트 힐,3.0,3.34497,83144.0,청소년 관람불가,공포,"캐나다, 일본, 미국, 프랑스",124.0,2006.0
마션,3.5,4.01025,92499.0,12세 관람가,SF,미국,142.0,2015.0
시간 여행자의 아내,3.0,3.66282,96531.0,12세 관람가,로맨스/멜로,미국,107.0,2009.0
군도:민란의 시대,3.5,3.14855,100696.0,15세 관람가,액션,한국,137.0,2014.0
씬 시티,3.5,3.56793,101571.0,청소년 관람불가,범죄,미국,123.0,2005.0
끝까지 간다,4.0,3.86662,115156.0,15세 관람가,범죄,한국,111.0,2013.0
빅 히어로,4.0,3.95044,117918.0,전체 관람가,애니메이션,미국,108.0,2014.0
루시,3.0,3.10815,121206.0,청소년 관람불가,액션,"미국, 프랑스",90.0,2014.0
버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들,3.5,3.94196,126803.0,12세 관람가,드라마,미국,96.0,2007.0
킬러들의 수다,3.5,3.36549,132204.0,15세 관람가,코미디,한국,120.0,2001.0
암살,4.0,3.94286,139114.0,15세 관람가,액션,한국,140.0,2015.0
베테랑,3.5,4.00765,151806.0,15세 관람가,액션,한국,124.0,2015.0
메이즈 러너,2.5,3.69728,157375.0,12세 관람가,액션,미국,113.0,2014.0
디 워,0.5,1.98421,266510.0,12세 관람가,판타지,한국,90.0,2007.0
건축학개론,3.0,3.58254,634208.0,12세 관람가,로맨스/멜로,한국,118.0,2012.0
어거스트 러쉬,3.5,3.94234,448046.0,전체 관람가,드라마,미국,113.0,2007.0
브루스 올마이티,3.5,3.79117,313198.0,12세 관람가,코미디,미국,100.0,2003.0
"색, 계",4.0,3.55195,177695.0,청소년 관람불가,로맨스/멜로,"미국, 중국, 대만, 홍콩",157.0,2007.0
펄프 픽션,3.5,3.93998,65074.0,청소년 관람불가,범죄,미국,154.0,1994.0
신세계,3.5,4.21741,559455.0,청소년 관람불가,범죄,한국,134.0,2012.0
겨울왕국,4.5,3.90408,524986.0,전체 관람가,애니메이션,미국,108.0,2013.0
킥 애스: 영웅의 탄생,4.5,3.48115,134831.0,청소년 관람불가,판타지,"미국, 영국",117.0,2010.0
"아이, 로봇",4.5,3.6504,295171.0,12세 관람가,SF,미국,110.0,2004.0
킹콩,4.5,3.43914,279787.0,15세 관람가,판타지,"뉴질랜드, 미국",186.0,2005.0
아바타,4.5,3.96304,665196.0,12세 관람가,SF,미국,162.0,2009.0
노트북,4.5,4.01638,274150.0,15세 관람가,로맨스/멜로,미국,123.0,2004.0
명량,3.0,3.68229,296486.0,15세 관람가,액션,한국,128.0,2014.0
데드풀,3.5,3.78549,41439.0,청소년 관람불가,액션,미국,106.0,2016.0
키리시마가 동아리활동 그만둔대,4.5,3.64451,8366.0,15세 관람가,드라마,일본,103.0,2013.0
비포 선라이즈,4.5,4.03776,149164.0,15세 관람가,로맨스/멜로,"오스트리아, 미국",100.0,1995.0
초속 5센티미터,5.0,3.69382,111498.0,전체 관람가,애니메이션,일본,62.0,2007.0
나를 찾아줘,3.0,3.9742,134906.0,청소년 관람불가,스릴러,미국,145.0,2014.0
미드나잇 인 파리,4.0,3.90653,173950.0,15세 관람가,로맨틱 코미디,"미국, 스페인",94.0,2011.0
그랜드 부다페스트 호텔,5.0,4.01767,169048.0,청소년 관람불가,드라마,"미국, 독일, 영국",100.0,2014.0
매드 맥스: 분노의 도로,4.0,4.04374,194220.0,15세 관람가,액션,"오스트레일리아, 미국",120.0,2015.0
엣지 오브 투모로우,3.5,3.96296,223647.0,12세 관람가,액션,미국,113.0,2014.0
쥬라기 공원,4.0,3.87411,187710.0,12세 관람가,SF,미국,123.0,1993.0
엑스맨: 데이즈 오브 퓨처 패스트,4.0,4.03755,201023.0,12세 관람가,액션,미국,134.0,2014.0
노인을 위한 나라는 없다,4.5,3.91386,126313.0,청소년 관람불가,스릴러,미국,122.0,2007.0
킹스맨 : 시크릿 에이전트,4.0,4.16182,284181.0,청소년 관람불가,액션,"미국, 영국",128.0,2015.0
인터스텔라,4.5,4.31023,342278.0,12세 관람가,SF,"미국, 영국",169.0,2014.0
