DESC,감독,배우,평가자수,보고싶어요수,코멘트수,별점분포
"Spotlight, 2015, 미국, 드라마, 스릴러, 15세 관람가, 2시간 8분",토마스 맥카시,"[마이클 키튼, 마크 러팔로, 레이첼 맥아담스]","13,025","9,796","2,585","{""1"":7,""2"":14,""3"":10,""4"":50,""5"":83,""6"":454,""7"":1472,""8"":4318,""9"":4509,""10"":2108}"
"2013, 한국, 드라마, 범죄, 15세 관람가, 2시간 1분",김광식,"[김강우, 정진영, 박성웅]","58,122","3,166",965,"{""1"":1312,""2"":2150,""3"":2238,""4"":6597,""5"":6749,""6"":16842,""7"":9397,""8"":9011,""9"":1367,""10"":2459}"
"Before Midnight, 2013, 미국, 로맨스/멜로, 청소년 관람불가, 1시간 48분",리처드 링클레이터,"[에단 호크, 줄리 델피, 시머스 데이비-피츠패트릭]","66,296","33,565","1,539","{""1"":228,""2"":956,""3"":316,""4"":2367,""5"":1513,""6"":9953,""7"":7526,""8"":21200,""9"":7289,""10"":14948}"
"Killer Toon, 2013, 한국, 공포, 스릴러, 15세 관람가, 1시간 44분",김용균,"[이시영, 엄기준, 문가영]","67,031","1,079",712,"{""1"":3615,""2"":5424,""3"":4063,""4"":11525,""5"":8133,""6"":17566,""7"":6501,""8"":7099,""9"":765,""10"":2340}"
"Transcendence, 2014, 미국, 영국, SF, 스릴러, 12세 관람가, 1시간 59분",월리 피스터,"[조니 뎁, 레베카 홀, 모건 프리먼]","68,174","9,510","2,439","{""1"":787,""2"":1329,""3"":1612,""4"":5251,""5"":6635,""6"":15493,""7"":13675,""8"":14473,""9"":4620,""10"":4299}"
"Obsessed, 2014, 한국, 드라마, 로맨스/멜로, 청소년 관람불가, 2시간 12분",김대우,"[송승헌, 임지연, 온주완]","71,711","1,780","1,801","{""1"":6464,""2"":7810,""3"":7653,""4"":15110,""5"":9750,""6"":13452,""7"":5136,""8"":3879,""9"":717,""10"":1740}"
"The Hunger Games: Mockingjay - Part 1, 2014, 미국, 판타지, 액션, 15세 관람가, 2시간 3분",프란시스 로렌스,"[제니퍼 로렌스, 리암 헴스워스, 조쉬 허처슨]","74,705","7,661","2,829","{""1"":627,""2"":895,""3"":994,""4"":3262,""5"":5484,""6"":15539,""7"":16857,""8"":17810,""9"":5451,""10"":7786}"
"The Intern, 2015, 미국, 코미디, 12세 관람가, 2시간 1분",낸시 마이어스,"[로버트 드 니로, 앤 해서웨이, 르네 루소]","74,444","10,389","7,696","{""1"":68,""2"":134,""3"":215,""4"":892,""5"":2333,""6"":8537,""7"":16408,""8"":23202,""9"":13171,""10"":9484}"
"The Beauty Inside, 2015, 한국, 로맨스/멜로, 12세 관람가, 2시간 7분",백종열,"[이현우, 한효주, 김대명]","78,615","6,108","7,895","{""1"":294,""2"":475,""3"":764,""4"":2612,""5"":5541,""6"":13621,""7"":19241,""8"":20943,""9"":8633,""10"":6491}"
"The Priests, 2015, 한국, 스릴러, 드라마, 15세 관람가, 1시간 48분",장재현,"[김윤석, 강동원, 박소담]","79,275","4,026","7,954","{""1"":268,""2"":398,""3"":495,""4"":1916,""5"":4124,""6"":14162,""7"":23240,""8"":23118,""9"":7177,""10"":4377}"
"Inside Men, 2015, 한국, 범죄, 드라마, 청소년 관람불가, 2시간 10분",우민호,"[이병헌, 조승우, 백윤식]","81,082","5,085","8,404","{""1"":159,""2"":244,""3"":280,""4"":1133,""5"":2816,""6"":9406,""7"":17798,""8"":26694,""9"":13980,""10"":8572}"
"Silent Hill, 2006, 캐나다, 일본, 미국, 프랑스, 공포, 스릴러, 판타지, 청소년 관람불가, 2시간 4분",크리스토프 갱스,"[라다 미첼, 로리 홀든, 숀 빈]","83,358","5,629",841,"{""1"":833,""2"":3363,""3"":1109,""4"":8095,""5"":3894,""6"":22115,""7"":9721,""8"":22544,""9"":3029,""10"":8655}"
"The Martian, 2015, 미국, SF, 액션, 12세 관람가, 2시간 22분",리들리 스콧,"[맷 데이먼, 제시카 차스테인, 제프 다니엘스]","93,331","8,067","10,234","{""1"":69,""2"":141,""3"":186,""4"":691,""5"":1441,""6"":6399,""7"":17710,""8"":35774,""9"":20209,""10"":10711}"
"The Time Traveler's Wife, 2009, 미국, 로맨스/멜로, 판타지, 12세 관람가, 1시간 47분",로베르트 슈벤트케,"[에릭 바나, 레이첼 맥아담스, 알렉스 페리스]","96,957","21,133","1,044","{""1"":246,""2"":1604,""3"":535,""4"":4844,""5"":3179,""6"":21657,""7"":12990,""8"":31673,""9"":6560,""10"":13669}"
"KUNDO : Age of the Rampant, 2014, 한국, 액션, 15세 관람가, 2시간 17분",윤종빈,"[하정우, 강동원, 이경영]","102,482","7,671","7,200","{""1"":1196,""2"":1647,""3"":2669,""4"":7522,""5"":12924,""6"":28380,""7"":26156,""8"":16006,""9"":3269,""10"":2713}"
"Sin City, 2005, 미국, 범죄, 액션, 청소년 관람불가, 2시간 3분",프랭크 밀러,"[브루스 윌리스, 미키 루크, 제시카 알바]","101,752","8,883","1,061","{""1"":558,""2"":3799,""3"":782,""4"":8100,""5"":2620,""6"":22607,""7"":9690,""8"":31937,""9"":5442,""10"":16217}"
"A Hard Day, 2013, 한국, 범죄, 액션, 15세 관람가, 1시간 51분",김성훈,"[이선균, 조진웅, 신동미]","116,851","6,526","6,115","{""1"":201,""2"":353,""3"":472,""4"":1644,""5"":2972,""6"":12364,""7"":26814,""8"":42627,""9"":17296,""10"":12108}"
"Big Hero 6, 2014, 미국, 애니메이션, 액션, 코미디, 가족, SF, 전체 관람가, 1시간 48분",크리스 윌리엄스,"[라이언 포터, 스콧 애짓, 제이미 정]","119,876","10,304","5,545","{""1"":403,""2"":543,""3"":544,""4"":1960,""5"":3478,""6"":12859,""7"":21940,""8"":36988,""9"":19271,""10"":21890}"
"LUCY, 2014, 미국, 프랑스, 액션, 청소년 관람불가, 1시간 30분",뤽 베송,"[스칼렛 요한슨, 모건 프리먼, 최민식]","122,449","9,728","6,180","{""1"":2579,""2"":3428,""3"":4574,""4"":12048,""5"":15836,""6"":28387,""7"":23538,""8"":19359,""9"":6242,""10"":6458}"
"The Bucket List, 2007, 미국, 드라마, 코미디, 12세 관람가, 1시간 36분",롭 라이너,"[잭 니콜슨, 모건 프리먼, 숀 헤이즈]","127,387","40,384","1,187","{""1"":254,""2"":1390,""3"":390,""4"":3414,""5"":2259,""6"":20407,""7"":13299,""8"":44832,""9"":10470,""10"":30672}"
"Guns & Talks, 2001, 한국, 코미디, 드라마, 15세 관람가, 2시간 ",장진,"[신현준, 정재영, 신하균]","132,497","5,907",598,"{""1"":772,""2"":4549,""3"":1366,""4"":12560,""5"":5349,""6"":38527,""7"":14382,""8"":38626,""9"":3664,""10"":12702}"
"Assassination, 2015, 한국, 액션, 드라마, 15세 관람가, 2시간 20분",최동훈,"[전지현, 이정재, 하정우]","142,933","5,514","10,405","{""1"":179,""2"":323,""3"":434,""4"":1445,""5"":3557,""6"":14994,""7"":30103,""8"":45653,""9"":26425,""10"":19820}"
"Veteran , 2015, 한국, 액션, 드라마, 15세 관람가, 2시간 4분",류승완,"[황정민, 유아인, 유해진]","156,282","5,621","12,327","{""1"":236,""2"":319,""3"":414,""4"":1417,""5"":2903,""6"":12063,""7"":31166,""8"":52650,""9"":31427,""10"":23687}"
"The Maze Runner, 2014, 미국, 액션, SF, 스릴러, 12세 관람가, 1시간 53분",웨스 볼,"[딜런 오브라이언, 토마스 생스터, 윌 폴터]","159,950","6,841","5,961","{""1"":617,""2"":1039,""3"":1414,""4"":4641,""5"":8592,""6"":26216,""7"":37161,""8"":44106,""9"":16663,""10"":19501}"
"D-War, 2007, 한국, 판타지, 액션, 12세 관람가, 1시간 30분",심형래,"[제이슨 베어, 아만다 브룩스, 크레이그 로빈슨]","267,408",484,"2,215","{""1"":35355,""2"":65926,""3"":14910,""4"":56686,""5"":16272,""6"":46132,""7"":8712,""8"":14679,""9"":1406,""10"":7330}"
"Architecture 101, 2012, 한국, 로맨스/멜로, 12세 관람가, 1시간 58분",이용주,"[엄태웅, 한가인, 이제훈]","636,441","6,750","3,231","{""1"":3472,""2"":14338,""3"":5626,""4"":43984,""5"":21799,""6"":159911,""7"":61959,""8"":199358,""9"":22984,""10"":103010}"
"August Rush, 2007, 미국, 드라마, 전체 관람가, 1시간 53분",커스틴 쉐리단,"[프레디 하이모어, 조나단 리스 마이어스, 케리 러셀]","450,272","13,246","1,565","{""1"":1275,""2"":5987,""3"":1918,""4"":16750,""5"":8455,""6"":74932,""7"":36516,""8"":149635,""9"":28263,""10"":126541}"
"Bruce Almighty, 2003, 미국, 코미디, 판타지, 12세 관람가, 1시간 40분",톰 새디악,"[짐 캐리, 모건 프리먼, 제니퍼 애니스턴]","314,274","9,659","1,323","{""1"":620,""2"":3393,""3"":1089,""4"":10671,""5"":6469,""6"":64547,""7"":35734,""8"":120436,""9"":16868,""10"":54447}"
"Lust, Caution, 2007, 미국, 중국, 대만, 홍콩, 로맨스/멜로, 드라마, 청소년 관람불가, 2시간 37분",이안,"[양조위, 탕웨이, 왕리홍]","178,290","9,805","1,245","{""1"":978,""2"":5044,""3"":1517,""4"":13926,""5"":5093,""6"":43671,""7"":18714,""8"":53611,""9"":9587,""10"":26149}"
